name,delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,delta_t_solvent,polymer,delta_d_polymer,delta_p_polymer,delta_h_polymer,R0,delta_t_polymer,Ra,RED,compatible
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,Polyethylene (PE),16.9,3.3,4.1,8.1,17.700564962734944,10.883014288330232,1.343582010904967,0
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,Ethylene-Propylene Copolymer (PP proxy),16.6,0.0,5.2,9.1,17.39540169125163,13.340914511381895,1.466034561690318,0
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,Polystyrene (PS),22.28,5.75,4.3,12.68,23.408351073922315,16.98081564589876,1.3391810446292396,0
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,Polyvinyl Chloride (PVC),18.4,6.6,8.0,3.0,21.121552973207248,9.464671151181111,3.1548903837270372,0
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,Polycarbonate (PC),19.1,10.9,5.1,12.1,22.574986157249356,9.372299611087989,0.7745702157923958,1
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,PET (Polyethylene Terephthalate),18.2,6.4,6.6,5.0,20.39019372149269,9.375499986667377,1.8750999973334754,0
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,PMMA (Acrylic),18.64,10.52,7.51,8.59,22.683035511147974,8.134303903838365,0.9469503962559215,1
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,Nylon 6 (PA6),17.0,3.4,10.6,5.1,20.32043306625132,10.547985589675404,2.0682324685638047,0
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,Nylon 66 (PA66),17.4,9.8,14.6,5.1,24.737825288412076,9.018869108707586,1.7684057075897228,0
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,ABS,16.3,2.7,7.1,7.8,17.983047572644633,10.340212763768454,1.3256683030472378,0
